,company_name,security,sector
0,MAHARAJA FOODS PLC,MFPE.N0000,3020
1,DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,2030
2,CABLE SOLUTIONS PLC,CSLK.N0000,2010
3,CARGILLS BANK PLC,CBNK.N0000,4010
4,UB FINANCE PLC,UBF.N0000,4020
5,CAL FIVE YEAR OPTIMUM FUND [Fund],CALI.U0000,0000
6,AGARAPATANA PLANTATIONS PLC,AGPL.N0000,3020
7,HELA APPAREL HOLDINGS PLC,HELA.N0000,2520
8,EXTERMINATORS PLC,EXT.N0000,2020
9,ALPHA FIRE SERVICES LIMITED,AFS.N0000,2010
10,LUMINEX PLC,LUMX.N0000,2010
11,CO-OPERATIVE INSURANCE COMPANY PLC,COOP.N0000,4030
12,CAPITAL ALLIANCE PLC,CALT.N0000,4020
13,hSENID BUSINESS SOLUTIONS PLC,HBS.N0000,4510
14,FIRST CAPITAL TREASURIES PLC,FCT.N0000,4020
15,SARVODAYA DEVELOPMENT FINANCE PLC,SDF.N0000,4020
16,KAPRUKA HOLDINGS PLC,KPHL.N0000,2550
17,LOLC GENERAL INSURANCE PLC,LGIL.N0000,4030
18,MYLAND DEVELOPMENTS PLC,MDL.N0000,6020
19,LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,4020
20,EX-PACK CORRUGATED CARTONS PLC,PACK.N0000,1510
21,E M L CONSULTANTS PLC,EML.N0000,2020
22,YORK ARCADE HOLDINGS PLC,YORK.N0000,6020
23,WINDFORCE PLC,WIND.N0000,5510
24,GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,4020
25,WATAWALA  PLANTATIONS  PLC,WATA.N0000,3020
26,VALLIBEL POWER ERATHNA PLC,VPEL.N0000,5510
27,VALLIBEL ONE PLC,VONE.N0000,2010
28,VIDULLANKA PLC [Non-Voting],VLL.X0000,5510
29,VIDULLANKA PLC,VLL.N0000,5510
30,VALLIBEL FINANCE PLC,VFIN.N0000,4020
31,UNITED MOTORS LANKA PLC,UML.N0000,2550
32,UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000,3020
33,UNION CHEMICALS LANKA PLC,UCAR.N0000,1510
34,UNION BANK OF COLOMBO PLC,UBC.N0000,4010
35,UNION ASSURANCE PLC,UAL.N0000,4030
36,KELANI TYRES PLC,TYRE.N0000,2510
37,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,3020
38,TRANS ASIA HOTELS PLC,TRAN.N0000,2530
39,TALAWAKELLE TEA ESTATES PLC,TPL.N0000,3020
40,TOKYO CEMENT COMPANY (LANKA) PLC [Non-Voting],TKYO.X0000,1510
41,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,1510
42,TEEJAY LANKA PLC,TJL.N0000,2520
43,LANKA TILES PLC,TILE.N0000,2010
44,TESS AGRO PLC [Non-Voting],TESS.X0000,3010
45,TESS AGRO PLC,TESS.N0000,3010
46,AMBEON CAPITAL PLC,TAP.N0000,2520
47,TANGERINE BEACH HOTELS PLC,TANG.N0000,2530
48,TAL LANKA HOTELS PLC,TAJ.N0000,2530
